"AORD.Open","AORD.High","AORD.Low","AORD.Close","AORD.Volume","AORD.Adjusted"
"2007-01-02",5646.9,5664.3,5645,5645.9,309068100,5645.9
"2007-01-03",5656,5671.1,5621.4,5626.8,410263800,5626.8
"2007-01-04",5613.9,5614.5,5563.9,5563.9,636790800,5563.9
"2007-01-05",5559.5,5587.8,5543.7,5549.8,565676400,5549.8
"2007-01-08",5539.7,5541.2,5482.1,5484.5,643905000,5484.5
"2007-01-09",5498.4,5565,5497.3,5564.1,888775900,5564.1
"2007-01-10",5558.6,5558.6,5502.1,5502.1,824819400,5502.1
"2007-01-11",5513.2,5550.6,5509.6,5542.7,738536200,5542.7
"2007-01-12",5554.7,5611.9,5554.7,5611.9,686902700,5611.9
"2007-01-15",5615.9,5649,5610.6,5649,497797600,5649
"2007-01-16",5647.7,5678.7,5642.2,5650.4,699713300,5650.4
"2007-01-17",5643.4,5648.1,5624.4,5626.1,648283400,5626.1
"2007-01-18",5634.6,5657.4,5631.8,5650.8,724698300,5650.8
"2007-01-19",5648.5,5652.1,5622.5,5652.1,715673600,5652.1
"2007-01-22",5665.9,5715.5,5665.9,5704,655001400,5704
"2007-01-23",5701.2,5716.1,5682.9,5714.1,587776800,5714.1
"2007-01-24",5727.7,5755.9,5724.8,5749.1,841223100,5749.1
"2007-01-25",5760.7,5782.9,5753.3,5753.3,915627200,5753.3
"2007-01-26",5760.7,5782.9,5753.3,5753.3,915627200,5753.3
"2007-01-29",5756.2,5760.3,5737.8,5744,689026900,5744
"2007-01-30",5741.2,5792.4,5740.8,5791.5,844200100,5791.5
"2007-01-31",5797.9,5808.2,5757.7,5757.7,834157300,5757.7
"2007-02-01",5765.7,5799.1,5765.7,5796.8,917977500,5796.8
"2007-02-02",5809.5,5821.3,5800,5814.4,772388700,5814.4
"2007-02-05",5811,5811.5,5786.5,5805.1,720582200,5805.1
"2007-02-06",5811.6,5849.3,5811.6,5848.5,855555900,5848.5
"2007-02-07",5874.8,5880.1,5854.2,5870.9,917210300,5870.9
"2007-02-08",5873.4,5880.5,5857.5,5872.9,814795800,5872.9
"2007-02-09",5878.4,5899.3,5869.8,5899.3,788990500,5899.3
"2007-02-12",5894.6,5905.3,5878.2,5895,694584800,5895
"2007-02-13",5892.7,5916.3,5884.8,5907.3,693011800,5907.3
"2007-02-14",5916.9,5948.4,5916.9,5937.7,788575800,5937.7
"2007-02-15",5946.7,5976.1,5945.7,5969.1,870325700,5969.1
"2007-02-16",5969.6,5970.6,5923,5935.5,772263800,5935.5
"2007-02-19",5938.6,5981.8,5933.3,5969.3,502583200,5969.3
"2007-02-20",5973.7,5981.3,5959,5969.4,621376200,5969.4
"2007-02-21",5962.7,5970.5,5932.3,5933.3,863900500,5933.3
"2007-02-22",5934.6,5991.1,5933.9,5991.1,1085331100,5991.1
"2007-02-23",5993.4,6024.7,5992.8,6009.3,1135229900,6009.3
"2007-02-26",6009.9,6021.9,5986.7,6021.9,873570700,6021.9
"2007-02-27",6021.6,6021.6,5977.6,5977.6,802591500,5977.6
"2007-02-28",5975.4,5975.4,5765,5816.5,1125725000,5816.5
"2007-03-01",5823.9,5844.9,5787.6,5798.3,817642600,5798.3
"2007-03-02",5793.7,5810.7,5769.6,5775.2,765149800,5775.2
"2007-03-05",5761.9,5761.9,5642.4,5642.4,948001300,5642.4
"2007-03-06",5644.7,5749.9,5626.9,5749.9,873156200,5749.9
"2007-03-07",5755.7,5808.5,5755.7,5803.3,793071200,5803.3
"2007-03-08",5798.4,5803.9,5757.2,5799.6,715411800,5799.6
"2007-03-09",5804.8,5828.8,5801.3,5810.2,758459200,5810.2
"2007-03-12",5808.9,5868.1,5801.9,5868.1,629601100,5868.1
"2007-03-13",5870.6,5893.6,5840.3,5844,806959600,5844
"2007-03-14",5818.3,5818.3,5727.3,5727.3,745510200,5727.3
"2007-03-15",5752.1,5835.2,5747.5,5831.8,1086777000,5831.8
"2007-03-16",5831.8,5853.5,5798,5817.8,7846000,5817.8
"2007-03-19",5819.9,5852.6,5802.6,5839.2,539354300,5839.2
"2007-03-20",5850,5898,5850,5856.5,624941800,5856.5
"2007-03-21",5862.2,5886.7,5844.5,5846.3,707343300,5846.3
"2007-03-22",5862,5935.4,5862,5935.4,853921600,5935.4
"2007-03-23",5934.6,5947.1,5920.4,5933.1,781564600,5933.1
"2007-03-26",5939.3,5971.3,5938.6,5970.5,692886500,5970.5
"2007-03-27",5966.7,5972.6,5951.1,5952.3,775702400,5952.3
"2007-03-28",5947.5,5965.1,5907.4,5913.3,838267400,5913.3
"2007-03-29",5909.6,5945.7,5896.4,5945.7,960607300,5945.7
"2007-03-30",5952.6,5980.7,5952.5,5978.8,1007359400,5978.8
"2007-04-02",5978.2,5978.2,5908.2,5908.2,686641800,5908.2
"2007-04-03",5920.2,5997.6,5920.2,5997.6,770068800,5997.6
"2007-04-04",6010.6,6079,6010.6,6079,853367100,6079
"2007-04-05",6076.5,6076.5,6051.6,6063.4,740248400,6063.4
"2007-04-06",6076.5,6076.5,6051.6,6063.4,740248400,6063.4
"2007-04-09",6076.5,6076.5,6051.6,6063.4,740248400,6063.4
"2007-04-10",6069.5,6139.1,6069.5,6136.1,743510900,6136.1
"2007-04-11",6142.8,6159.1,6127.3,6136.1,865486700,6136.1
"2007-04-12",6133.7,6150.8,6116.4,6142.8,765247000,6142.8
"2007-04-13",6151.5,6178,6114,6123.8,935970900,6123.8
"2007-04-16",6133.4,6190.4,6133.2,6183.6,876987100,6183.6
"2007-04-17",6188.2,6220,6155.7,6168.9,840780200,6168.9
"2007-04-18",6174.8,6240.8,6173.7,6215,993727100,6215
"2007-04-19",6208.7,6209.2,6144.2,6148.3,898100600,6148.3
"2007-04-20",6152,6189.3,6152,6187.2,675866400,6187.2
"2007-04-23",6197.1,6229.8,6151.9,6192.2,792972900,6192.2
"2007-04-24",6193.2,6213.9,6163.9,6173.3,807147000,6173.3
"2007-04-26",6179.9,6211.5,6179.9,6197.8,887138400,6197.8
"2007-04-27",6189,6189,6135.2,6141,954640700,6141
"2007-04-30",6146.1,6193,6146.1,6158.3,779087000,6158.3
"2007-05-01",6155.6,6163.5,6129.8,6140.2,859061500,6140.2
"2007-05-02",6148.9,6224.5,6148.7,6224.5,920909100,6224.5
"2007-05-03",6231,6247.6,6215.1,6236.9,833330300,6236.9
"2007-05-04",6245.9,6296.2,6245.9,6296.2,802969700,6296.2
"2007-05-07",6309.3,6331.7,6288.9,6329.4,725867900,6329.4
"2007-05-08",6332.7,6333.8,6289.8,6301,1034223900,6301
"2007-05-09",6295,6376.9,6279.9,6338,886753900,6338
"2007-05-10",6346.1,6351.8,6312.3,6351.8,951475600,6351.8
"2007-05-11",6332.9,6332.9,6277.4,6297.3,784771000,6297.3
"2007-05-14",6307,6360.8,6307,6346.7,677798400,6346.7
"2007-05-15",6334.7,6338,6288.4,6297.3,831574500,6297.3
"2007-05-16",6303.9,6319.6,6275.6,6301.1,835935500,6301.1
"2007-05-17",6308.4,6370.1,6308.4,6370.1,1068201000,6370.1
"2007-05-18",6358.3,6360.6,6307,6319.7,753621200,6319.7
"2007-05-21",6325,6387.6,6325,6372.5,727332600,6372.5
"2007-05-22",6372.3,6390.3,6342.9,6350.2,915604900,6350.2
"2007-05-23",6350.6,6389.3,6336.1,6369,796842500,6369
"2007-05-24",6365.5,6365.5,6296.4,6298.6,977928500,6298.6
"2007-05-25",6292.7,6292.7,6247.6,6273.3,1143826600,6273.3
"2007-05-28",6283.8,6315.3,6262.3,6275,678142200,6275
"2007-05-29",6275.1,6338.8,6267.2,6338.8,727126600,6338.8
"2007-05-30",6338.3,6338.3,6258.6,6271.7,897718300,6271.7
"2007-05-31",6287.3,6365.1,6287.3,6341.8,1102144900,6341.8
"2007-06-01",6348.3,6380.2,6343.5,6363.4,937720900,6363.4
"2007-06-04",6375.2,6435.7,6375.2,6419.6,798147100,6419.6
"2007-06-05",6420.1,6422.9,6398.3,6399.9,962179100,6399.9
"2007-06-06",6397.6,6402,6345.3,6367.4,903421000,6367.4
"2007-06-07",6350.6,6350.6,6288.7,6338.2,859026400,6338.2
"2007-06-08",6326.7,6326.7,6226.3,6258.4,992187600,6258.4
"2007-06-12",6273.7,6319.3,6264.5,6267.7,815837500,6267.7
"2007-06-13",6253.3,6254.7,6200.1,6210.1,902098800,6210.1
"2007-06-14",6238.2,6289.5,6237.8,6288.4,916928700,6288.4
"2007-06-15",6298.4,6322.8,6294.7,6317.1,1022596100,6317.1
"2007-06-18",6330.7,6376.2,6330.2,6365.3,883804100,6365.3
"2007-06-19",6362.1,6402,6341.9,6393.4,1183819900,6393.4
"2007-06-20",6390.1,6426.4,6373.7,6421,1092358700,6421
"2007-06-21",6417.7,6417.7,6388.6,6411.9,1551503000,6411.9
"2007-06-22",6416.2,6416.4,6379.2,6409.3,957772700,6409.3
"2007-06-25",6405.7,6405.7,6345.8,6358.6,864977800,6358.6
"2007-06-26",6358.5,6373.6,6332.4,6337.3,891029200,6337.3
"2007-06-27",6329.6,6331.4,6216.6,6216.6,1141016700,6216.6
"2007-06-28",6231,6297.4,6231,6297.4,1131606900,6297.4
"2007-06-29",6302.6,6325.3,6280.1,6310.6,1573553400,6310.6
"2007-07-02",6316.4,6325.1,6291.2,6298.6,1040177000,6298.6
"2007-07-03",6315.2,6353.4,6313.3,6333.8,1072022200,6333.8
"2007-07-04",6340.6,6353.5,6324.7,6332.6,913250600,6332.6
"2007-07-05",6334.4,6392.2,6334.4,6392.2,799678500,6392.2
"2007-07-06",6392.1,6392.1,6352.5,6383,789604400,6383
"2007-07-09",6385.3,6429.5,6385.3,6429.5,664129900,6429.5
"2007-07-10",6431.5,6431.9,6394.8,6397.8,784986900,6397.8
"2007-07-11",6394.1,6394.1,6339.1,6363.2,819884600,6363.2
"2007-07-12",6373.4,6402.7,6369.8,6400.1,926406700,6400.1
"2007-07-13",6423.8,6469.2,6423.8,6425.4,834473000,6425.4
"2007-07-16",6426.1,6449.4,6415.1,6418.4,765543000,6418.4
"2007-07-17",6422.5,6429.3,6408.4,6418.2,757276200,6418.2
"2007-07-18",6410,6410.2,6364.6,6367.2,787348600,6367.2
"2007-07-19",6371.9,6419.8,6371.9,6419,855666600,6419
"2007-07-20",6421.9,6457.1,6421.9,6456.7,885882800,6456.7
"2007-07-23",6448.9,6448.9,6398.7,6427.8,751252100,6427.8
"2007-07-24",6434.9,6464.3,6434.9,6455.5,948438500,6455.5
"2007-07-25",6431.6,6431.7,6371.4,6378,742817500,6378
"2007-07-26",6381.5,6388,6301.4,6301.4,1162984600,6301.4
"2007-07-27",6296.8,6296.8,6126.9,6127.3,1374327800,6127.3
"2007-07-30",6124.7,6147.1,6086.9,6146.5,873638500,6146.5
"2007-07-31",6157.5,6187.8,6147,6187.5,821960900,6187.5
"2007-08-01",6181.6,6181.6,5989.4,5989.4,1067501700,5989.4
